name,website,contact,email,email_alts,email_source,tagline,city,market,platforms,niche,status,title,sent,reply,ref,score,sources,country,signals,verified_at
Porvenir,https://www.porvenir.agency/,,hello@porvenir.agency,,https://www.porvenir.agency/,"The agency ambitious startups hire for brand identity, web design, and SEO that generates leads. Working with clients in New York, London, Dubai, and worldwide. Book a free strategy call.",New York,us,,dental,200,"Porvenir - Brand Identity, Web Design & SEO Agency for Startups",,,out-porvenir,96,search,United States,"us-confirmed,has-pricing,smb",2026-09-20 22:10
Almaroof Inc,https://almaroof.com/,https://almaroof.com/contact-us/,info@almaroof.com,,https://almaroof.com/contact-us/,Discover & connect with Arab-American business owners.,Kansas City,us,webflow,trades,200,Almaroof Inc,,,out-almaroof-inc,96,search,United States,"us-confirmed,has-pricing,site:wordpress",2026-09-20 23:10
Teamwork.com,https://www.teamwork.com/,https://www.teamwork.com/contact/sales/,sales@teamwork.com,,https://www.teamwork.com/,"Teamwork.com is the PSA platform that leverages AI to manage projects, optimize resources, forecast capacity, and give teams real-time visibility into performance and profitability.",Pittsburgh,us,,medical,200,AI-Powered PSA Software Built for Profitability | Teamwork.com,,,out-teamwork-com,96,search,United States,"us-confirmed,has-pricing,smb",2026-09-20 23:15
Domo,https://www.domo.com/,https://www.domo.com/company/contact-us,info@domo.com,,https://www.domo.com/company/contact-us,"Strengthen your entire data journey with Domo’s AI and data products. Connect and move data from any source, prepare and expand data access for exploration, and accelerate business-critical insights.",Pittsburgh,us,,medical,200,Governed Data for AI Agents | Domo,,,out-domo,96,search,United States,"us-confirmed,has-pricing,site:webflow,smb",2026-09-20 23:16
Make My Website,https://www.makemywebsite.com.au/,https://www.makemywebsite.com.au/contact/,info@makemywebsite.com.au,,https://www.makemywebsite.com.au/contact/,"Make My Website is an affordable Web Design company located in Melbourne, Australia. We have been mastering the art of Web Design, SEO, Development and SMM.",Sydney,australia,,dental,200,Web Design Melbourne | Custom Web Development Agency,2026-09-21,,out-make-my-website,93,search,Australia,"au-confirmed,site:wordpress,smb",2026-09-20 22:10
Webstallion,https://webstallion.com.au/,https://webstallion.com.au/contact/,contact@webstallion.com.au,,https://webstallion.com.au/,"Website design Australia, hand-coded for speed. 90+ PageSpeed, no monthly fees, you own the code. Fixed price from $999, delivery 2 to 5 weeks.",Sydney,australia,,dental,200,Website Design Australia | Hand-Coded | Webstallion,2026-09-21,,out-webstallion,93,search,Australia,"au-confirmed,site:webflow,smb",2026-09-20 22:10
PSM Digital Agency Australia,https://psmdigitalagency.com.au/,https://psmdigitalagency.com.au/contact-us/,admin@psmdigitalagency.com.au,,https://psmdigitalagency.com.au/contact-us/,Elevate your online presence with the leading digital marketing agency in Australia. Our expert team delivers tailored strategies for businesses seeking to thrive in the digital landscape.,Sydney,australia,,dental,200,Top Australian Digital Marketing Agency | Expert Solutions for Online Success,2026-09-21,,out-psm-digital-agency-australia,93,search,Australia,"au-confirmed,site:wordpress,smb",2026-09-20 22:10
Keen To Design,https://www.keentodesign.com.au/,https://www.keentodesign.com.au/contact-web-designer/,info@keentodesign.com.au,,https://www.keentodesign.com.au/,"Keen To Design is a Sydney web design company specialising in modern, SEO optimised websites. Get a custom site that delivers results.",Sydney,australia,,dental,200,Web Design Sydney | Website Design Company | Web Designers,2026-09-21,,out-keen-to-design,93,search,Australia,"au-confirmed,site:wordpress,smb",2026-09-20 22:10
webdesignlosangelesco.com,https://webdesignlosangelesco.com/,https://webdesignlosangelesco.com/contact-us/,info@webdesignlosangelesco.com,,https://webdesignlosangelesco.com/,"Creative web design company in Los Angeles providing custom websites, WordPress web design, & redesign services focused on performance and UX.",Los Angeles,us,,dental,200,Web Design Los Angeles Company | Custom Websites & SEO,,,out-webdesignlosangelesco-com,93,search,United States,"us-confirmed,site:wordpress,smb",2026-09-20 22:10
Query,https://www.query.ai/,https://www.query.ai/contact-sales,sales@query.ai,,https://www.query.ai/contact-sales,Query is a federated search platform for security data providing expanded data visibility without centralization.,Chicago,us,,medical,200,Home - Query,,,out-query,93,search,United States,"us-confirmed,site:wordpress,smb",2026-09-20 22:39
Research.com,https://research.com/,https://research.com/contact-us,info@research.com,,https://research.com/,"Discover your perfect online degree and college options at Research.com, your reliable guide for making informed educational decisions.",San Francisco,us,,real-estate,200,Research Online Degrees & Colleges That Fit You Best! | Research.com,,,out-research-com,93,search,United States,"us-confirmed,smb",2026-09-20 23:01
DVD-Forum.at,https://www.dvd-forum.at/,,info@dvd-forum.at,,https://www.dvd-forum.at/,Entdecke die Welt des Films und der Games mit DVD-Forum.at - dem ultimativen Online-Magazin für Cineasten und Gamer.,Denver,us,ecommerce,healthcare,200,DVD-Forum.at: Das Online-Magazin für Cineasten und Gamer,,,out-dvd-forum-at,93,search,United States,"us-confirmed,site:wordpress",2026-09-20 23:08
TrueKung Fashion,https://truekung.com/,https://truekung.com/contact-truekung/,info@truekung.com,,https://truekung.com/contact-truekung/,"TrueKung is a custom clothing manufacturer in China with 20+ years of apparel experience. OEM/ODM, private label, low MOQ, 7-10 day sampling, QC and global shipping.",Miami,us,,construction,200,Custom Clothing Manufacturer in China | OEM/ODM & Private Label | TrueKung,,,out-truekung-fashion,93,search,United States,"us-confirmed,site:wordpress,smb",2026-09-20 23:11
Your Trusted Proxy Solutions Provider,https://www.simplynode.io/,https://www.simplynode.io/contact,sales@simplynode.io,,https://www.simplynode.io/contact,"SimplyNode, reliable source for premium proxy solutions. Unlock limitless possibilities with our diverse range of residential, mobile, and data center proxies.",Las Vegas,us,,healthcare,200,SimplyNode - Your Trusted Proxy Solutions Provider,,,out-your-trusted-proxy-solutions-provider,93,search,United States,"us-confirmed,smb",2026-09-20 23:13
The Sports Geek,https://thesportsgeek.com/,,admin@thesportsgeek.com,,https://www.thesportsgeek.com:443/,The Sports Geek covers casino and sportsbook reviews for the best bonuses. Bet smarter with strategy guides and betting tips from our AI model and experts.,Baltimore,us,,finance,200,The Sports Geek | Expert Betting Tips and Predictions,,,out-the-sports-geek,93,search,United States,"us-confirmed,site:wordpress,smb",2026-09-20 23:15
usa journalist,https://www.usajournalist.com/,https://www.usajournalist.com/contact-us/,info@usajournalist.com,,https://www.usajournalist.com/contact-us/,"USA Journalist — Premium News, Zero Noise.",Pittsburgh,us,,trades,200,Home - USA Journalist,,,out-usa-journalist,93,search,United States,"us-confirmed,site:wordpress,smb",2026-09-20 23:16
Digital Marketing | Ecommerce | Digital Technology,https://www.dqaustralia.com/,https://www.dqaustralia.com/contact-us/,hello@dqaustralia.com,,https://www.dqaustralia.com/,"DQ Australia is leading full service digital agency in Perth specialising in web development, design, digital marketing, E-commerce,RPA, etc. Contact the best Digital Agency company now.",Perth,australia,"ecommerce,magento,wordpress",,200,"Digital Agency Perth | SEO, Web & Marketing Experts - DQ Australia",2026-09-21,,out-digital-marketing-ecommerce-digital-tech,92,selectedfirms|techbehemoths,Australia,"au-confirmed,has-pricing,site:wordpress,smb",2026-09-20 23:18
Challenge Friends,https://playquiznow.com/,,info@playquiznow.com,,https://playquiznow.com/,Challenge friends in live trivia battles. Fastest finger first mode. Play solo or multiplayer. Free to start!,Sacramento,us,,dental,200,Play Live Multiplayer Quiz | Trivia Game - Challenge Friends,,,out-challenge-friends,91,search,United States,"us-confirmed,has-pricing",2026-09-20 22:11
