name,website,contact,email,email_alts,email_source,tagline,city,market,platforms,status,title,sent,reply
BBBSoftDev,https://www.bbbsoftdev.com/,https://www.bbbsoftdev.com/#contact,,,,"Trusted Shopify development agency helping brands build, optimize and scale high-performing Shopify stores.",Bucharest,eastern_europe,shopify,200,Shopify Development Agency &ndash; BBBSoftDev,,
Softsite,https://softsite.ro/en/,https://softsite.ro/en/contact/,contact@softsite.ro,,https://softsite.ro/en/,"Full-service digital agency in Cluj-Napoca. We build websites, brands, and digital strategies that help Romanian businesses grow online. Fixed prices, 3-week delivery.",Cluj-Napoca,eastern_europe,"wordpress,custom",200,"Softsite | Web Design, Branding &amp; Digital Marketing - Cluj-Napoca",2026-09-20,
WOLFPACK DIGITAL,https://www.wolfpack-digital.com/,https://www.wolfpack-digital.com/contact,contact@wolfpack-digital.com,,https://www.wolfpack-digital.com/,"We help global brands design, build & launch successful web & mobile apps. Winners of the European Technology Awards 🇪🇺 for the App Development category.",Cluj-Napoca,eastern_europe,custom,200,Wolfpack Digital | start-to-end tech product development,2026-09-20,
Osom Studio,https://www.osomstudio.com/,https://www.osomstudio.com/contact/,office@osomstudio.com,,https://www.osomstudio.com/,🏆One of the most trusted agencies specialized in WordPress and WooCommerce solutions. WordPress agency for you.,Cluj-Napoca,eastern_europe,"wordpress,custom",200,WordPress Agency Of Choice - Osom Studio,2026-09-20,
Brandweb,https://www.brandweb.ro/,https://www.brandweb.ro/contact,office@brandweb.ro,,https://www.brandweb.ro/,"Brandweb este o companie de software development care creeaza produse digitale inovatoare personalizate, fie ca este vorba de aplicatii mobile sau platforme de comert electronic .",Romania,eastern_europe,wordpress,200,"Brandweb - Dezvoltare software, aplicatii mobile, Magento si Shopify",,
Grapefruit,https://www.grapefruit.ro/,https://grapefruit.ro/contact,office@grapefruit.ro,,https://grapefruit.ro/contact,"We are a leading digital creative agency that develops exceptional user experiences, solves business problems, and makes people's lives easier",Iasi,eastern_europe,custom,200,User Experience &amp; Digital Creative Agency | Grapefruit,,
BitStone,https://bitstone.eu/,,,,,Meet BitStone - Your Trusted Software Development Partner. Explore innovative solutions and discover how we're reshaping the future of technology.,Cluj-Napoca,eastern_europe,custom,200,BitStone: Software Development Company - Premier Services,,
Brand Active,https://brandactive.pl/,https://brandactive.co/pl/kontakt,info@brandactive.pl,,https://brandactive.pl/,"Certyfikowany partner Shopify Plus w Polsce i CEE. Budujemy sklepy Shopify, które sprzedają: ponad 1000 projektów i 8+ lat doświadczenia w e-commerce.",Krakow,eastern_europe,shopify,200,BrandActive - Partner Shopify | E-commerce napędzający wzrost,,
Zdobywcy Sieci,https://zdobywcysieci.pl/,https://zdobywcysieci.pl/kontakt/,info@zdobywcysieci.pl,,https://zdobywcysieci.pl/,Pomożemy Ci zainstnieć w sieci - od projektu strony po pozycjonowanie w Google. Agencja interaktywna Zdobywcy Sieci.,Warsaw,eastern_europe,"woocommerce,wordpress",200,"Agencja interaktywna - Strony i sklepy internetowe, pozycjonowanie",,
Broker Media,https://brokermedia.pl/en/,https://brokermedia.pl/en/contact-us/,biuro@brokermedia.pl,,https://brokermedia.pl/en/,We have been successfully working for clients from all over the world for over 10 years.,Warsaw,eastern_europe,"woocommerce,wordpress",200,"Broker Media - Interactive Agency Poland, Warsaw",,
PP Design Studio,https://ppdesignstudio.pl/,https://ppdesignstudio.pl/kontakt/,biuro@ppdesignstudio.pl,,https://ppdesignstudio.pl/,Nowoczesne i atrakcyjne strony internetowe dla małych i średnich firm z wykorzystaniem najpopularniejszego systemu do zarządzania treścią WordPress.,Warsaw,eastern_europe,"woocommerce,wordpress",200,PP Design Studio - Projektowanie stron internetowych,,
JCD.pl,https://jcd.pl/,,biuro@jcd.pl,,https://jcd.pl/,"Software house Warszawa: 68+ projektów dedykowanych, 560+ wdrożeń WordPress i wdrożenia AI. Aplikacje web i mobile, e-commerce, opieka IT. Od 2019 roku.",Warsaw,eastern_europe,"woocommerce,wordpress",200,"Software House Warszawa — aplikacje, e-commerce i wdrożenia AI | JCD.PL",,
WebPanda,https://webpanda.pl/,https://webpanda.pl/kontakt/,kontakt@webpanda.pl,,https://webpanda.pl/,"Projektowanie, tworzenie stron WWW i sklepów internetowych. Optymalizacja ładowania i SEO. Wsparcie techniczne dla witryn opartych o WordPress CMS Warszawa",Warsaw,eastern_europe,"woocommerce,wordpress",200,"Projektowanie, Tworzenie Stron WWW i Sklepów Internetowych",,
The New Look,https://thenewlook.pl/,,studio@thenewlook.pl,,https://thenewlook.pl/,"Agencja interaktywna tworzenie strony internetowe, sklepy internetowe, pozycjonowanie SEO, administracja, sklepy WordPress WooCommerce",Warsaw / Lodz,eastern_europe,"woocommerce,wordpress",200,Strony internetowe WordPress Sklepy internetowe WooCommerce,,
ProWP,https://prowp.pl/,,kontakt@prowp.pl,,https://prowp.pl/,"Agencja PROWP jest firmą programistyczną, tworzymy strony internetowe i sklepy ecommerce, oferujemy także obsługę stron WordPress.",Poland,eastern_europe,"woocommerce,wordpress",200,Agencja ProWP - Strony WordPress &amp; Sklepy WooCommerce,,
Ajmer,https://ajmer.pl/en/,https://ajmer.pl/en/contact/,biuro@ajmer.pl,,https://ajmer.pl/en/,"We are one of the top interactive agencies in Poland, providing web, app design and marketing services. ☎ 501 308 974.",Poland,eastern_europe,"woocommerce,wordpress",200,"Ajmer - Interactive, Marketing Agency Poland",,
Hallwil,https://hallwil.com/,https://www.hallwil.com/contacts,hello@hallwil.com,,https://hallwil.com/,Hallwil is an unlimited web design agency offering services for a monthly subscription at a flat fee. ✓ Write to us ✓ We'll help you decide on a rate.,Ukraine,eastern_europe,"webflow,wordpress,shopify",200,Hallwil - Development &amp; Subscription Based Design Service,,
Charle,https://www.charle.co.uk/,https://www.charle.co.uk/contact/,hello@charle.co.uk,,https://www.charle.co.uk/,Leading Shopify Partner & Ecommerce Web Design Agency creating visually engaging ecommerce websites built with cutting-edge technology. We help brands sell more online.,Manchester,uk,shopify,200,Shopify Agency London | Ecommerce Web Designers | Charle,,
MadeByShape,https://madebyshape.co.uk/,https://madebyshape.co.uk/contact/,hello@madebyshape.co.uk,,https://madebyshape.co.uk/,"An award-winning Web Design Agency in Manchester, UK who specialise in Branding, Web Design, Craft CMS, eCommerce and Organic SEO.",Manchester,uk,"shopify,wordpress",200,Web Design Manchester | Web Design Agency | MadeByShape,,
Pixel Kicks,https://www.pixelkicks.co.uk/,https://www.pixelkicks.co.uk/contact,hello@pixelkicks.co.uk,,https://www.pixelkicks.co.uk/,Manchester based Shopify Partner and WordPress agency creating high-performing ecommerce websites that increase revenue and support long-term growth.,Manchester,uk,"shopify,wordpress",200,Shopify &amp; WordPress Agency | Pixel Kicks,,
Create8,https://www.create8.co.uk/,https://www.create8.co.uk/start-a-project/,hello@create8.co.uk,,https://www.create8.co.uk/,"Shopify web design, branding & paid marketing from Manchester's eCommerce growth agency. Shopify Plus experienced, helping DTC and B2B merchants grow faster, UK-wide and globally.",Manchester,uk,shopify,200,Shopify Web Design &amp; eCommerce Growth Agency Manchester | CREATE8®,,
Flex Commerce,https://flexcommerce.co.uk/,https://flexcommerce.co.uk/contact,hello@flexcommerce.co.uk,,https://flexcommerce.co.uk/,"Shopify Plus agency in Manchester & Liverpool. Custom ecommerce design, development & ongoing support for ambitious brands. Free quote today.",Manchester,uk,"shopify_plus,shopify",200,Shopify Plus Agency Manchester &amp; Liverpool | Flex Commerce,,
Made By Factory,https://www.madebyfactory.com/,,,,,,Manchester,uk,shopify,200,,,
Stepholt,https://stepholt.com/,https://stepholt.com/contact-stepholt/,hello@stepholt.com,,https://stepholt.com/contact-stepholt/,"Everything your business needs online.Websites, apps, hosting, marketing and ongoing support — all in one place.",North West England,uk,shopify,200,"Stepholt - One subscription, Design, Development and Marketing",,
Weblogic,https://weblogic.ie/,https://weblogic.ie/wp-content/plugins/jetpack/jetpack_vendor/automattic/jetpack-forms/src/../dist/contact-form/css/jetpack-forms-layout.css?ver=16.3-a.1,info@weblogic.ie,,https://weblogic.ie/,"WebLogic is a WordPress agency in Ireland and a WooCommerce Pro Partner. Web design, SEO and site speed for 300+ businesses.",Dublin,uk,wordpress,200,"WordPress Agency Ireland | Web Design, SEO &amp; Site Speed",,
Visible,https://visible.ie/,https://visible.ie/contact/,sites@visible.ie,,https://visible.ie/,"Freelance web designer in Dublin. Tell me about your business and I'll take it from there — fast-loading, affordable WordPress sites for small businesses.",Dublin,uk,wordpress,200,Web Designer Dublin | Visible,,
Nineline Digital,https://ninelinedigital.ie/,https://ninelinedigital.ie/contact/,info@ninelinedigital.ie,,https://ninelinedigital.ie/,Web design Dublin services with SEO and digital marketing integration to ensure your website reaches and engages your target audience.,Dublin,uk,wordpress,200,Home - Nineline Digital,,
Digital Lab,https://digitallab.ie/,,,,,"Digital Lab is a creative Web Design Agency Dublin, We deliver custom graphic, web design and Wordpress website development.",Dublin,uk,wordpress,200,[ Web Design Agency ] Custom Business Web Design Dublin,,
Chris Flynn Design,https://chrisflynndesign.com/,https://chrisflynndesign.com/contact-chris-flynn-design/,chris@chrisflynndesign.com,,https://chrisflynndesign.com/,UX/UI Web Design Dublin and Ireland. Specialising in Web Design & Development Solutions that Convert. Ph: 0876362764 for a Quote,Dublin,uk,wordpress,200,Web Design Dublin &#8902; Design &amp; Development ⋆ Chris Flynn Design,,
Eclipso Studio,https://www.eclipso.studio/,https://www.eclipso.studio/contact,office@eclipso.studio,,https://www.eclipso.studio/,"Eclipso Studio designs and develops high-performing Webflow websites for startups, agencies and digital-first brands, from strategy through launch.",Berlin,western_europe,webflow,200,Eclipso Studio | Webflow Design &amp; Development Agency,,
Flowtrix,https://www.flowtrix.co/,https://www.flowtrix.co/contact,hello@flowtrix.co,,https://www.flowtrix.co/contact,"Full-service B2B design agency: branding, UI/UX, Webflow development & AEO/SEO. 100+ enterprise projects. India's only Webflow Enterprise Certified Partner.",Berlin,western_europe,webflow,200,Top B2B Branding &amp; Webflow Agency for SaaS &amp; AI Enterprises | Flowtrix,,
